4.06,2.54,3.25,6.91,5.18,4.26,5.93,3.05,3.05,9.14,8.12,0,0,5.08,4.06,3.05,6.09,4.06,10.15,4.82,4.82,4.06,5.08,8.12,6.91,4.77,0,4.06,5.08,1.22,0,0
4.09,2.56,3.27,6.95,5.22,4.29,5.95,3.07,3.07,9.2,8.18,0,3.07,5.11,4.09,3.07,6.14,4.09,10.23,4.83,4.83,4.09,5.11,8.18,6.95,4.81,0,4.09,5.11,1.23,0,0
3.37,2.11,2.7,5.73,4.3,3.54,4.88,2.53,2.53,7.59,6.74,0,0,4.21,0,2.53,0,3.37,8.43,3.94,3.94,0,4.21,6.74,5.73,3.96,0,3.37,4.21,1.01,0,3.37
3.47,2.17,2.77,5.89,4.42,3.64,5.08,2.6,2.6,7.8,6.93,5.2,2.6,0,3.47,2.6,5.2,3.47,8.66,4.14,4.14,3.47,4.33,6.93,5.89,4.07,0,3.47,4.33,1.04,0,3.47
3.38,2.11,2.7,5.74,4.3,3.54,4.96,2.53,2.53,7.6,6.75,5.06,2.53,0,3.38,2.53,5.06,3.38,8.44,4.05,4.05,3.38,4.22,6.75,5.74,3.97,0,3.38,4.22,1.01,0,3.38
3.72,2.32,2.97,6.32,4.74,3.9,5.45,2.79,2.79,8.36,7.43,5.58,2.79,4.65,3.72,2.79,5.58,3.72,9.29,4.46,4.46,3.72,4.65,7.43,6.32,4.37,0,3.72,4.65,1.12,0,3.72
3.82,2.39,3.06,6.5,4.88,4.02,5.61,2.87,2.87,8.6,7.65,5.74,2.87,4.78,3.82,2.87,5.74,3.82,9.56,0,0,3.82,4.78,7.65,6.5,4.49,2.13,3.82,4.78,1.15,0,3.82
4.01,2.51,3.21,6.81,5.11,4.21,5.88,3.01,3.01,9.02,8.02,6.01,0,5.01,4.01,3.01,6.01,4.01,10.02,0,0,4.01,5.01,8.02,6.81,4.71,2.23,4.01,5.01,1.2,0,4.01
4.02,2.51,3.21,6.83,5.12,4.22,5.89,3.01,3.01,9.04,8.03,6.02,3.01,5.02,4.02,3.01,6.02,4.02,10.04,0,0,4.02,5.02,8.03,6.83,4.72,0,4.02,5.02,1.2,0,4.02
3.67,2.29,2.94,6.24,4.68,3.85,5.38,2.75,2.75,8.26,7.34,5.51,0.92,4.59,3.67,2.75,5.51,3.67,9.18,0,0,3.67,4.59,7.34,6.24,4.31,2.05,3.67,4.59,1.1,0,3.67
3.78,2.36,3.03,6.43,4.82,3.97,5.55,2.84,2.84,8.51,7.57,5.68,2.84,4.73,3.78,2.84,5.68,3.78,9.46,0,0,3.78,4.73,7.57,6.43,4.45,2.11,3.78,4.73,1.14,0,3.78
