0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,12030.8,0,0,0,0,0,0,0,0
7402.3,7475.9,8613.4,14806.2,9548.6,6051.8,8704.9,10588.85,6917.2,13024.8,0,2432.2
14051,14621.8,14405.8,14894,13950.2,13077.6,13933.2,14254,13855.7,13468,10050.8,13966.7
14639.7,14825.4,16788,14332,15323,14536.6,16135,14980,15955,16151,15128.8,14739.4
19008,15350,15441,16043,16454,15365,18583,15989,16217,18746,14617,16813
16366,15747,15866,16943,16986,16144,17375,16905,15712,16121,14337,16972
16365,15966,16492,15685.3,16638,16501,17540,16641,15968,17829,16108,17035
15264,15557,15973.6,17257.7,15512,15614,15758,15725.6,15937.7,17090.2,16742,16238
13043.4,15969,16855.4,21301,16714.7,16511.2,16607.4,16983.1,17754.9,17475,16514.6,11498.6
0,10690,20493.2,19642,21067.1,20010.1,20713.8,20313.3,21815.2,21033.9,21471.4,0
0,0,19498.7,20288.6,20968,19361.3,20883.3,19742.5,20280.1,20399.6,20715.8,0
0,0,19926.7,20530.4,20167.8,20555.6,20958.8,21539.9,20939.8,20583,20601.6,0
0,0,19555.4,21499.2,19645.4,19614.1,20586.1,20385.1,20619.8,19329.2,19842.7,0
0,0,21035.5,21334,19725.6,21536.2,21117.4,20935.6,21390.1,20226.9,19946.4,0
0,0,21330.6,20073.2,20959,21983.6,21461.9,21876,21461.8,21860.1,20855.5,0
0,0,20500.2,11425,20311.5,7389.9,22243.6,20860.5,21558.4,20394.6,6888.4,0
0,0,11412,0,5766,0,5721,14818,14806,11009,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,,0,0,0,0,0,0,0,0
