WELL_N-0258,WELL_N-0269,WELL_N-0279,WELL_N-0288,WELL_N-0546,WELL_N-0547,WELL_N-0553A,WELL_N-0554,WELL_N-0557,WELL_N-0558,WELL_N-0565,WELL_N-0566,WELL_N-0569,WELL_N-0570,WELL_N-1100,WELL_N-1101,WELL_N-1101R,WELL_N-1103,WELL_N-1352,WELL_N-1354,WELL_N-1356,WELL_N-1358,WELL_N-1360,WELL_N-1395,WELL_N-1396,WELL_N-1410,WELL_N-1411,WELL_N-1506,WELL_N-1508,WELL_N-1512,WELL_N-1513,WELL_N-1515,WELL_N-1549
32,23,18,43,20,7,12,15,8,14,25,16,8,16,8,10,0,0,11,14,7,7,4,2,8,9,9,41,27,0,0,34,19
30,25,16,41,20,7,12,19,8,13,22,15,7,16,6,9,0,0,11,12,8,8,4,4,8,10,11,38,28,5,0,31,20
29,22,16,39,17,8,11,17,7,13,20,14,7,17,5,9,0,0,10,11,10,8,4,5,8,9,6,40,27,6,0,29,17
29,18,15,35,17,6,10,17,6,13,19,14,8,19,6,8,0,0,10,13,9,8,4,5,7,9,6,34,26,8,0,28,16
30,18,15,39,7,7,12,20,7,14,19,15,5,19,10,10,0,0,9,10,9,8,4,4,6,9,7,36,28,6,0,27,17
30,18,15,34,5,6,14,20,6,13,18,15,5,18,7,9,0,0,9,14,9,7,4,3,6,9,5,32,28,7,0,25,15
0,0,0,0,21,17,20,50,0,0,0,0,0,0,20,0,0,0,19,33,0,0,0,0,0,0,0,0,62,0,0,0,32
30,17,15,37,11,6,8,17,6,13,18,14,7,14,6,9,0,0,8,16,9,6,5,4,8,13,6,33,24,6,0,27,14
30,18,14,36,19,6,7,18,5,13,17,13,8,15,7,9,0,0,6,13,8,8,4,4,8,10,7,31,23,7,0,28,15
28,13,13,33,17,6,8,17,6,12,16,13,6,14,6,8,0,0,6,11,8,6,4,4,6,10,6,26,23,5,0,25,21
28,18,14,35,15,5,10,16,6,12,17,13,8,14,10,7,0,0,6,10,8,6,5,5,8,11,5,19,24,5,0,25,23
44,33,23,54,1,0,1,1,8,19,26,19,13,24,0,12,0,0,0,1,10,10,8,7,14,16,0,51,1,9,0,41,1
23,22,15,36,15,6,6,15,6,12,16,13,9,15,7,8,0,0,5,7,10,6,4,4,9,10,0,30,19,5,0,24,19
31,25,16,43,13,5,4,8,8,14,19,16,9,18,5,9,0,0,4,6,11,7,5,5,10,12,1,34,14,4,0,23,13
27,19,16,38,13,5,9,11,10,13,17,13,9,19,3,9,0,0,4,10,8,7,5,4,8,12,6,31,17,7,0,26,14
33,21,19,41,11,4,5,9,9,13,19,13,9,23,4,9,0,0,3,8,8,7,6,5,11,13,6,34,14,8,0,28,10
26,17,14,36,13,5,6,14,5,11,15,14,8,10,8,8,0,0,8,13,7,5,4,4,8,11,5,27,21,7,0,18,15
27,19,13,35,12,5,6,13,5,12,11,10,9,6,1,9,0,0,6,13,8,5,3,3,8,10,5,29,20,5,0,10,15
26,17,13,32,13,5,7,13,8,11,9,11,8,12,10,7,0,0,9,11,7,6,3,2,9,10,6,29,18,3,0,12,16
28,18,14,28,8,4,3,10,10,13,10,14,10,18,10,8,0,0,5,7,7,8,5,3,10,12,7,30,14,4,0,25,11
30,16,14,35,6,3,4,6,9,14,11,15,12,23,4,9,0,0,5,5,7,5,7,4,9,12,7,28,11,4,0,27,5
22,13,13,25,9,5,5,8,6,12,9,12,10,17,6,8,0,0,10,8,6,5,8,3,7,10,6,22,18,5,0,23,11
25,16,12,18,7,4,5,10,6,12,13,12,6,16,2,8,0,0,6,9,6,6,6,2,7,9,6,21,17,5,0,25,10
29,14,11,17,8,4,8,11,5,12,14,13,4,14,3,8,0,0,3,10,6,6,5,2,9,3,7,14,19,4,0,22,10
33,14,11,17,8,4,7,11,9,14,15,11,7,16,4,8,0,0,5,10,7,6,7,2,7,10,7,7,18,4,0,21,10
30,14,9,16,8,4,5,10,11,15,14,14,9,17,3,9,0,0,8,9,7,5,8,3,6,8,8,10,15,3,0,21,9
25,14,11,27,9,3,6,4,9,13,13,9,7,15,4,7,0,0,6,9,6,4,7,2,7,8,6,15,15,4,0,19,10
24,14,10,28,12,4,6,10,9,14,13,10,7,17,4,7,0,0,5,8,5,5,9,4,10,9,5,18,15,5,0,19,9
